26 5.50501489639282 [109,53], free 1 [109,53], free 1
6 1.26178479194641 [27,29], free 1 [27,29], free 1
9 1.87592458724976 [53,45], free 1 [53,45], free 1
20 4.39326357841492 [75,14], free 1 [75,14], free 1
17 3.6319043636322 [6,45], free 1 [6,45], free 1
10 2.14614272117615 [79,49], free 1 [79,49], free 1
34 10.7940599918365 [20,45], free 1 [20,45], free 1
11 3.09916567802429 [118,2], free 1 [118,2], free 1
13 2.82051420211792 [119,5], free 1 [119,5], free 1
15 4.2956714630127 [39,25], free 1 [39,25], free 1
2 0.697129726409912 [131,13], free 1 [131,13], free 1
17 4.29531025886536 [53,9], free 1 [53,9], free 1
8 2.39302086830139 [103,43], free 1 [103,43], free 1
9 2.34518504142761 [136,30], free 1 [136,30], free 1
18 5.45524215698242 [129,48], free 1 [129,48], free 1
5 1.15085887908936 [133,47], free 1 [133,47], free 1
8 1.91527915000916 [146,21], free 1 [146,21], free 1
9 2.25531125068665 [57,15], free 1 [57,15], free 1
11 2.29683089256287 [23,3], free 1 [23,3], free 1
9 1.85923194885254 [91,36], free 1 [91,36], free 1
20 4.30903244018555 [51,19], free 1 [51,19], free 1
7 1.44555282592773 [71,19], free 1 [71,19], free 1
19 3.96633243560791 [121,1], free 1 [121,1], free 1
6 1.28657174110413 [133,17], free 1 [133,17], free 1
12 2.50541567802429 [31,39], free 1 [31,39], free 1
4 0.819230794906616 [13,13], free 1 [13,13], free 1
34 7.45116543769836 [148,27], free 1 [148,27], free 1
15 3.26295399665833 [117,31], free 1 [117,31], free 1
12 2.52259254455566 [49,25], free 1 [49,25], free 1
7 1.4648711681366 [14,41], free 1 [14,41], free 1
3 0.611671924591064 [139,22], free 1 [139,22], free 1
29 6.31872272491455 [41,45], free 1 [41,45], free 1
18 3.75722193717957 [85,48], free 1 [85,48], free 1
27 7.43186855316162 [32,43], free 1 [32,43], free 1
6 1.36004018783569 [143,7], free 1 [143,7], free 1
14 3.96436882019043 [77,17], free 1 [77,17], free 1
6 1.88321590423584 [87,25], free 1 [87,25], free 1
10 2.78436732292175 [55,25], free 1 [55,25], free 1
7 1.93451452255249 [27,50], free 1 [27,50], free 1
21 5.14175510406494 [3,39], free 1 [3,39], free 1
16 3.80661773681641 [39,47], free 1 [39,47], free 1
13 2.92508125305176 [107,8], free 1 [107,8], free 1
13 2.87857389450073 [61,21], free 1 [61,21], free 1
12 2.88041186332703 [144,48], free 1 [144,48], free 1
27 6.63238716125488 [141,1], free 1 [141,1], free 1
5 1.09202790260315 [5,9], free 1 [5,9], free 1
25 5.63382601737976 [51,8], free 1 [51,8], free 1
11 2.31203150749207 [152,44], free 1 [152,44], free 1
3 0.644485712051392 [137,38], free 1 [137,38], free 1
15 3.10792708396912 [115,44], free 1 [115,44], free 1
16 3.29911804199219 [80,42], free 1 [80,42], free 1
23 6.41016602516174 [49,36], free 1 [49,36], free 1
4 0.878259181976318 [25,3], free 1 [25,3], free 1
10 3.38704109191895 [44,23], free 1 [44,23], free 1
11 2.99130368232727 [151,23], free 1 [151,23], free 1
7 1.61008763313293 [143,37], free 1 [143,37], free 1
9 1.88775753974915 [9,3], free 1 [9,3], free 1
20 4.41139078140259 [55,39], free 1 [55,39], free 1
19 3.97903323173523 [151,7], free 1 [151,7], free 1
14 4.20024704933167 [135,25], free 1 [135,25], free 1
5 1.46233868598938 [113,15], free 1 [113,15], free 1
6 1.35920763015747 [93,27], free 1 [93,27], free 1
10 2.28949165344238 [121,53], free 1 [121,53], free 1
10 2.10847854614258 [4,17], free 1 [4,17], free 1
13 2.7789511680603 [144,43], free 1 [144,43], free 1
13 3.64004683494568 [46,37], free 1 [46,37], free 1
22 5.54421257972717 [38,31], free 1 [38,31], free 1
13 4.40513801574707 [85,33], free 1 [85,33], free 1
9 3.22356128692627 [14,13], free 1 [14,13], free 1
8 2.24230265617371 [107,41], free 1 [107,41], free 1
19 5.44076466560364 [31,36], free 1 [31,36], free 1
28 7.58228778839111 [109,36], free 1 [109,36], free 1
4 0.911760091781616 [125,23], free 1 [125,23], free 1
17 3.5852324962616 [82,9], free 1 [82,9], free 1
8 1.64995384216309 [44,10], free 1 [44,10], free 1
5 1.04068636894226 [84,52], free 1 [84,52], free 1
33 10.5827023983002 [105,37], free 1 [105,37], free 1
7 2.11801147460937 [111,19], free 1 [111,19], free 1
13 4.82552981376648 [126,42], free 1 [126,42], free 1
18 4.62560868263245 [141,31], free 1 [141,31], free 1
6 1.23555660247803 [33,15], free 1 [33,15], free 1
11 3.15382647514343 [135,7], free 1 [135,7], free 1
11 3.08445501327515 [14,42], free 1 [14,42], free 1
17 6.47877669334412 [148,42], free 1 [148,42], free 1
13 4.86900091171265 [29,24], free 1 [29,24], free 1
13 3.50194931030273 [43,47], free 1 [43,47], free 1
19 6.39870643615723 [91,45], free 1 [91,45], free 1
9 2.94551038742065 [47,21], free 1 [47,21], free 1
11 4.25027203559876 [53,12], free 1 [53,12], free 1
16 3.87179279327393 [80,4], free 1 [80,4], free 1
3 0.763388156890869 [145,25], free 1 [145,25], free 1
10 2.97909331321716 [133,25], free 1 [133,25], free 1
8 1.84554290771484 [121,37], free 1 [121,37], free 1
10 2.10234546661377 [113,16], free 1 [113,16], free 1
9 1.91077423095703 [153,23], free 1 [153,23], free 1
10 2.09653759002686 [92,3], free 1 [92,3], free 1
13 2.74346828460693 [53,41], free 1 [53,41], free 1
42 9.51014757156372 [77,33], free 1 [77,33], free 1
12 2.51087403297424 [85,46], free 1 [85,46], free 1
14 3.04389071464539 [38,1], free 1 [38,1], free 1
16 3.28835678100586 [49,7], free 1 [49,7], free 1
6 1.27700209617615 [62,48], free 1 [62,48], free 1
5 1.09154224395752 [147,32], free 1 [147,32], free 1
7 1.58449268341064 [78,40], free 1 [78,40], free 1
23 4.8970730304718 [1,49], free 1 [1,49], free 1
7 1.45619559288025 [40,48], free 1 [40,48], free 1
32 7.76961493492126 [99,23], free 1 [99,23], free 1
23 4.91085314750671 [92,46], free 1 [92,46], free 1
10 2.11773872375488 [96,33], free 1 [96,33], free 1
7 2.29516196250916 [59,23], free 1 [59,23], free 1
12 4.03002119064331 [87,17], free 1 [87,17], free 1
9 2.87130093574524 [137,53], free 1 [137,53], free 1
7 2.03773140907288 [51,36], free 1 [51,36], free 1
7 2.3621928691864 [53,33], free 1 [53,33], free 1
4 1.58715534210205 [45,31], free 1 [45,31], free 1
