31 0.8163769245147705 Robot: (29, 21, [0, 0, 1, 1]) Solution: [29, 21] [0, 0, 1, 1]
13 0.3203282356262207 Robot: (15, 31, [0, 0, 0, 0]) Solution: [15, 31] [0, 0, 0, 0]
10 0.29213452339172363 Robot: (6, 36, [1, 0, 0, 0]) Solution: [6, 36] [1, 0, 0, 0]
17 0.4318704605102539 Robot: (3, 5, [1, 0, 1, 0]) Solution: [3, 5] [1, 0, 1, 0]
30 0.7394528388977051 Robot: (7, 5, [0, 0, 1, 1]) Solution: [7, 5] [0, 0, 1, 1]
14 0.43262696266174316 Robot: (8, 8, [0, 0, 0, 0]) Solution: [8, 8] [0, 0, 0, 0]
12 0.5195167064666748 Robot: (9, 4, [0, 1, 0, 0]) Solution: [9, 4] [0, 1, 0, 0]
11 0.5221989154815674 Robot: (28, 22, [1, 1, 0, 0]) Solution: [28, 22] [1, 1, 0, 0]
10 0.5497429370880127 Robot: (8, 37, [0, 0, 1, 0]) Solution: [8, 37] [0, 0, 1, 0]
15 0.7553646564483643 Robot: (1, 15, [1, 0, 0, 1]) Solution: [1, 15] [1, 0, 0, 1]
21 1.0119922161102295 Robot: (10, 10, [1, 1, 0, 1]) Solution: [10, 10] [1, 1, 0, 1]
20 1.002751350402832 Robot: (10, 28, [0, 0, 1, 0]) Solution: [10, 28] [0, 0, 1, 0]
14 0.6669712066650391 Robot: (6, 27, [1, 0, 0, 0]) Solution: [6, 27] [1, 0, 0, 0]
9 0.42990994453430176 Robot: (1, 36, [0, 1, 0, 1]) Solution: [1, 36] [0, 1, 0, 1]
15 0.7477662563323975 Robot: (21, 29, [0, 0, 1, 1]) Solution: [21, 29] [0, 0, 1, 1]
25 1.1828455924987793 Robot: (31, 16, [0, 1, 0, 0]) Solution: [31, 16] [0, 1, 0, 0]
13 0.633976936340332 Robot: (31, 23, [0, 1, 0, 1]) Solution: [31, 23] [0, 1, 0, 1]
15 0.7103266716003418 Robot: (25, 6, [0, 1, 0, 1]) Solution: [25, 6] [0, 1, 0, 1]
22 1.0648882389068604 Robot: (7, 1, [1, 0, 0, 0]) Solution: [7, 1] [1, 0, 0, 0]
46 2.1781508922576904 Robot: (4, 37, [0, 0, 1, 0]) Solution: [4, 37] [0, 0, 1, 0]
13 0.6173403263092041 Robot: (28, 23, [0, 0, 0, 0]) Solution: [28, 23] [0, 0, 0, 0]
9 0.43447279930114746 Robot: (27, 22, [0, 0, 0, 1]) Solution: [27, 22] [0, 0, 0, 1]
22 1.0409023761749268 Robot: (14, 26, [0, 1, 0, 0]) Solution: [14, 26] [0, 1, 0, 0]
12 0.5881812572479248 Robot: (10, 8, [1, 0, 1, 0]) Solution: [10, 8] [1, 0, 1, 0]
13 0.6121413707733154 Robot: (16, 12, [0, 0, 1, 0]) Solution: [16, 12] [0, 0, 1, 0]
19 0.9095416069030762 Robot: (8, 2, [0, 0, 1, 0]) Solution: [8, 2] [0, 0, 1, 0]
12 0.5808868408203125 Robot: (11, 28, [0, 0, 0, 0]) Solution: [11, 28] [0, 0, 0, 0]
19 0.8904049396514893 Robot: (31, 31, [1, 1, 0, 0]) Solution: [31, 31] [1, 1, 0, 0]
19 0.9160163402557373 Robot: (28, 36, [0, 1, 0, 1]) Solution: [28, 36] [0, 1, 0, 1]
39 1.8403728008270264 Robot: (31, 35, [0, 1, 0, 0]) Solution: [31, 35] [0, 1, 0, 0]
12 0.566215991973877 Robot: (31, 16, [0, 1, 0, 0]) Solution: [31, 16] [0, 1, 0, 0]
